,index,home,away,hometeam_bid,draw_bid,away_bid,0,1
74,2583,Bordeaux,ParisSaint-Germain,8.0,5.0,1.15,2,0.6696071624755859
75,2584,RandersFC,Midtjylland,4.3,3.3,1.5,2,0.5492429733276367
76,2585,Southampton,ManchesterUnited,3.6,3.2,1.65,2,0.6311289668083191
77,2586,Ingolstadt,Hamburg,3.0,3.1,1.85,2,0.7954451441764832
78,2587,Barcelona,Villarreal,1.1,5.5,9.5,1,0.8658129572868347
79,2588,Quevilly,Boulogne,2.4,2.6,2.5,2,0.3825857937335968
80,2589,BenficaII,Estoril,2.35,2.95,2.3,1,0.44494539499282837
81,2590,Vitesse,Emmen,1.25,4.6,5.5,2,0.6569231748580933
82,2591,Köln,GreutherFürth,1.25,4.6,5.5,1,0.6464407444000244
83,2592,Milan,Parma,1.25,4.0,7.0,1,0.7492791414260864
84,2593,BalıkesirsporBaltok,Denizlispor,2.25,3.1,2.3,1,0.4459162652492523
85,2594,Avranches,MarignaneGignac,2.2,2.55,2.8,2,0.4938078224658966
86,2595,AZAlkmaar,WillemII,1.3,4.3,5.0,1,0.6025984287261963
87,2596,Malaga,Granada,1.85,2.8,3.3,1,0.4440441131591797
88,2597,Benfica,CDFeirense,1.05,6.25,12.5,1,0.9408470988273621
89,2598,YeniMalatyaspor,Akhisarspor,1.6,3.1,4.0,2,0.4269031584262848
90,2599,MelbourneVictory,WesternSydneyWanderers,1.65,3.3,3.4,0,0.49020445346832275
91,2600,CentralCoastMariners,Sydney,5.0,3.5,1.4,2,0.9103582501411438
92,2601,IncheonUnited,JeonnamDragons,1.5,3.6,4.0,0,0.5341364145278931
93,2602,Feyenoord,PSVEindhoven,2.5,3.1,2.1,2,0.6801884770393372
94,2603,Basel,YoungBoys,2.5,3.3,2.0,0,0.5412808060646057
95,2604,LASKLinz,Hartberg,1.25,4.6,5.5,1,0.8662907481193542
96,2605,Anderlecht,Genk,2.9,3.2,1.85,2,0.5484062433242798
97,2606,RBLeipzig,Mönchengladbach,1.7,3.3,3.2,1,0.7457468509674072
98,2607,NorwichCity,RotherhamUnited,1.25,4.0,7.0,1,0.9607102870941162
99,2608,RodezAveyron,BourgenBresse01,1.65,2.9,4.05,1,0.5020483732223511
100,2609,Marseille,Reims,1.25,4.0,7.0,1,0.6871404647827148
101,2610,Villefranche,Laval,2.6,2.55,2.35,0,0.559288740158081
102,2611,Guingamp,Nice,2.4,2.9,2.3,2,0.6130395531654358
103,2612,Roma,Inter,2.4,3.0,2.2,1,0.45392051339149475
104,2613,Dunkerque,Sannois-St-Gratien,1.5,3.1,4.65,1,0.502853274345398
105,2614,Gangwon,Daegu,1.9,3.2,2.7,2,0.578860878944397
106,2615,NottinghamForest,IpswichTown,1.45,3.4,4.6,1,0.45222893357276917
107,2616,Krasnodar,Ural,1.35,3.6,5.5,1,0.7340967059135437
108,2617,UnionBerlin,Darmstadt98,1.6,3.2,3.75,1,0.8942815661430359
109,2618,SportingBraga,Moreirense,1.25,4.0,7.0,1,0.7867569327354431
110,2619,Pau,Lyon-Duchere,2.3,2.6,2.6,2,0.5437512993812561
111,2620,Vaduz,Rapperswil-Jona,1.65,3.4,3.3,0,0.6205208897590637
